ИФ,Возраст,Сумма кредита,Средний ежемесячный доход за последние 6 мес,Ежемес. Выплаты по кредиту,Срок кредита (мес.),Кредит одобрен?
Алена Подчекаева,31,100000,30000,4545,22,Кредит одобрен
Николай Кученев,32,100000,30500,4348,23,Кредит одобрен
Алена Егорова,33,100000,31000,4167,24,Кредит одобрен
Владислав Мурешов,34,100000,31500,4000,25,Кредит одобрен
Андрей Тлемисов,35,100000,32000,3846,26,Кредит одобрен
Пётр Сандеров,36,100000,32500,3704,27,Кредит одобрен
Вера Калугина,37,100000,33000,3571,28,Кредит одобрен
Георгий Гудковский,38,100000,33500,3448,29,Кредит одобрен
Кристина Петерукова,39,100000,34000,3333,30,Кредит одобрен
Любовь Мокурина,40,100000,34500,3226,31,Кредит одобрен
Константин Захлебин,41,100000,35000,3125,32,Кредит одобрен
Алла Рассказова,42,100000,35500,3030,33,Кредит одобрен
Эдуард Бродский,43,100000,36000,2941,34,Кредит одобрен
Пётр Шерлаимов,44,100000,36500,2857,35,Кредит одобрен
Наталья Алексишева,45,100000,37000,2778,36,Кредит одобрен
Алиса Бузулина,46,100000,37500,8333,12,Кредит одобрен
Клавдия Шахторина,47,100000,38000,7692,13,Кредит одобрен
Тарас Лисафьев,48,100000,38500,7143,14,Кредит одобрен
Игорь Карсницкий,49,100000,39000,6667,15,Кредит одобрен
Алиса Чалых,50,100000,39500,6250,16,Кредит одобрен
Никита Доринов,51,100000,40000,5882,17,Кредит одобрен
Антон Саморуков,52,100000,40500,5556,18,Кредит одобрен
Елизавета Швидкова,53,100000,41000,5263,19,Кредит одобрен
Дарья Собанчиева,54,100000,41500,5000,20,Кредит одобрен
Карина Партина,55,100000,42000,4762,21,Кредит одобрен
Инна Полугарова,56,100000,42500,4545,22,Кредит одобрен
Вера Палабугина,57,100000,43000,4348,23,Кредит одобрен
Борис Крутков,58,100000,43500,4167,24,Кредит одобрен
Людмила Евленкова,59,100000,44000,4000,25,Кредит одобрен
Светлана Мичунова,60,100000,44500,3846,26,Кредит одобрен
Виктор Ильчов,61,100000,45000,3704,27,Кредит одобрен
Елена Корявичева,62,100000,45500,3571,28,Кредит одобрен
Зинаида Ашкеева,63,100000,46000,3448,29,Кредит одобрен
Аркадий Арямкин,64,100000,46500,3333,30,Кредит одобрен
Максим Суманов,18,100000,47000,3226,31,Кредит одобрен
Светлана Лученинова,19,100000,47500,3125,32,Кредит одобрен
Валерия Грункова,20,100000,48000,3030,33,Кредит одобрен
Алексей Жегулаев,21,100000,48500,2941,34,Кредит одобрен
Алена Луховцева,22,100000,49000,2857,35,Кредит одобрен
Вадим Самолкин,23,100000,49500,2778,36,Кредит одобрен
Вячеслав Тювин,24,100000,50000,8333,12,Кредит одобрен
Катерина Шелиханова,25,100000,50500,7692,13,Кредит одобрен
Николай Никалин,26,100000,51000,7143,14,Кредит одобрен
Альберт Телесов,27,100000,51500,6667,15,Кредит одобрен
Юлия Мавина,28,100000,52000,6250,16,Кредит одобрен
Степан Болуков,29,100000,52500,5882,17,Кредит одобрен
Карина Желтякова,30,100000,53000,5556,18,Кредит одобрен
Игорь Папшев,31,100000,53500,5263,19,Кредит одобрен
Алёна Енихина,32,100000,54000,5000,20,Кредит одобрен
Алина Фивюшина,33,100000,54500,4762,21,Кредит одобрен
Вадим Мусатов,34,100000,55000,4545,22,Кредит одобрен
Раиса Валынова,35,100000,55500,4348,23,Кредит одобрен
Григорий Марютенков,36,100000,56000,4167,24,Кредит одобрен
Виталий Нянькин,37,100000,56500,4000,25,Кредит одобрен
Георгий Алабов,38,100000,57000,3846,26,Кредит одобрен
Артур Шевердяков,39,100000,57500,3704,27,Кредит одобрен
Станислав Чекменев,40,100000,58000,3571,28,Кредит одобрен
Антон Спорышкин,41,100000,58500,3448,29,Кредит одобрен
Константин Васильцов,42,100000,59000,3333,30,Кредит одобрен
Яков Алимпиев,43,100000,59500,3226,31,Кредит одобрен
Клавдия Тимирбаева,44,100000,60000,3125,32,Кредит одобрен
Артём Мадудин,45,100000,60500,3030,33,Кредит одобрен
Людмила Брусничина,46,100000,61000,2941,34,Кредит одобрен
Юлия Петушкина,47,100000,61500,2857,35,Кредит одобрен
Алексей Галузов,48,100000,62000,2778,36,Кредит одобрен
Дарья Илешина,49,100000,62500,8333,12,Кредит одобрен
Валерий Абаршалин,50,100000,63000,7692,13,Кредит одобрен
Наталья Кулыманова,51,100000,63500,7143,14,Кредит одобрен
Евгений Чеснюков,52,100000,64000,6667,15,Кредит одобрен
Вероника Самбикина,53,100000,64500,6250,16,Кредит одобрен
Эдуард Мангушев,54,100000,65000,5882,17,Кредит одобрен
София Пуряева,55,100000,65500,5556,18,Кредит одобрен
Вадим Удовиков,56,100000,66000,5263,19,Кредит одобрен
Анатолий Нигматов,57,100000,66500,5000,20,Кредит одобрен
Леонид Матюкин,58,100000,67000,4762,21,Кредит одобрен
Роман Гритусов,59,100000,67500,4545,22,Кредит одобрен
Руслан Рафаев,60,100000,68000,4348,23,Кредит одобрен
Анатолий Бинаев,61,100000,68500,4167,24,Кредит одобрен
Виктор Дивавин,62,100000,69000,4000,25,Кредит одобрен
Людмила Трушитина,63,100000,69500,3846,26,Кредит одобрен
Виолетта Добровина,64,100000,70000,3704,27,Кредит одобрен
Денис Севагин,64,100000,70500,3571,28,Кредит одобрен
Аркадий Гарибин,18,100000,71000,3448,29,Кредит одобрен
Геннадий Люкурин,19,100000,71500,3333,30,Кредит одобрен
Валерий Сквозняков,20,100000,72000,3226,31,Кредит одобрен
Инна Курцова,21,100000,72500,3125,32,Кредит одобрен
Галина Ашмарева,22,100000,73000,3030,33,Кредит одобрен
Виолетта Мотричкина,23,100000,73500,2941,34,Кредит одобрен
Софья Осадина,24,100000,74000,2857,35,Кредит одобрен
Тарас Халкионов,25,100000,74500,2778,36,Кредит одобрен
Тамара Понынова,26,100000,75000,8333,12,Кредит одобрен
Анна Сефарова,27,100000,75500,7692,13,Кредит одобрен
Евгений Цибульский,28,100000,76000,7143,14,Кредит одобрен
Денис Пунышев,29,100000,76500,6667,15,Кредит одобрен
Валентин Конгаров,30,100000,77000,6250,16,Кредит одобрен
Андрей Кушлин,31,100000,77500,5882,17,Кредит одобрен
Григорий Курманин,32,100000,78000,5556,18,Кредит одобрен
Галина Даввыдова,33,100000,78500,5263,19,Кредит одобрен
Илья Котов,34,100000,79000,5000,20,Кредит одобрен
Алена Чугаева,35,100000,79500,4762,21,Кредит одобрен
Алена Подчекаева,36,100000,80000,4545,22,Кредит одобрен
Николай Кученев,37,100000,80500,4348,23,Кредит одобрен
Алена Егорова,38,100000,81000,4167,24,Кредит одобрен
Владислав Мурешов,39,100000,81500,4000,25,Кредит одобрен
Андрей Тлемисов,40,100000,82000,3846,26,Кредит одобрен
Пётр Сандеров,41,100000,82500,3704,27,Кредит одобрен
Вера Калугина,42,100000,83000,3571,28,Кредит одобрен
Георгий Гудковский,43,100000,83500,3448,29,Кредит одобрен
Кристина Петерукова,44,100000,84000,3333,30,Кредит одобрен
Любовь Мокурина,45,100000,84500,3226,31,Кредит одобрен
Константин Захлебин,46,100000,85000,3125,32,Кредит одобрен
Алла Рассказова,47,100000,85500,3030,33,Кредит одобрен
Эдуард Бродский,48,100000,86000,2941,34,Кредит одобрен
Пётр Шерлаимов,49,100000,86500,2857,35,Кредит одобрен
Наталья Алексишева,50,100000,87000,2778,36,Кредит одобрен
Алиса Бузулина,51,100000,87500,8333,12,Кредит одобрен
Клавдия Шахторина,52,100000,88000,7692,13,Кредит одобрен
Тарас Лисафьев,53,100000,88500,7143,14,Кредит одобрен
Игорь Карсницкий,54,100000,89000,6667,15,Кредит одобрен
Алиса Чалых,55,100000,89500,6250,16,Кредит одобрен
Никита Доринов,56,100000,90000,5882,17,Кредит одобрен
Антон Саморуков,57,100000,90500,5556,18,Кредит одобрен
Елизавета Швидкова,58,100000,91000,5263,19,Кредит одобрен
Дарья Собанчиева,59,100000,91500,5000,20,Кредит одобрен
Карина Партина,60,100000,92000,4762,21,Кредит одобрен
Инна Полугарова,61,100000,92500,4545,22,Кредит одобрен
Вера Палабугина,62,100000,93000,4348,23,Кредит одобрен
Борис Крутков,63,100000,93500,4167,24,Кредит одобрен
Людмила Евленкова,64,100000,94000,4000,25,Кредит одобрен
Светлана Мичунова,18,100000,94500,3846,26,Кредит одобрен
Виктор Ильчов,19,100000,95000,3704,27,Кредит одобрен
Елена Корявичева,20,100000,95500,3571,28,Кредит одобрен
Зинаида Ашкеева,21,100000,96000,3448,29,Кредит одобрен
Аркадий Арямкин,22,100000,96500,3333,30,Кредит одобрен
Максим Суманов,23,100000,97000,3226,31,Кредит одобрен
Светлана Лученинова,24,100000,97500,3125,32,Кредит одобрен
Валерия Грункова,25,100000,98000,3030,33,Кредит одобрен
Алексей Жегулаев,26,100000,98500,2941,34,Кредит одобрен
Алена Луховцева,27,100000,99000,2857,35,Кредит одобрен
Вадим Самолкин,28,100000,99500,2778,36,Кредит одобрен
Галина Сидгияева,18,200000,15000,16667,12,В кредите отказано
Виталий Щигорев,19,200000,15250,15385,13,В кредите отказано
Кирилл Машицкий,20,200000,15500,14286,14,В кредите отказано
Инна Просвирова,21,200000,15750,13333,15,В кредите отказано
Иван Кутыров,22,200000,16000,12500,16,В кредите отказано
Валерия Аредова,23,200000,16250,11765,17,В кредите отказано
Герасим Каминов,24,200000,16500,11111,18,В кредите отказано
Роман Неугодов,25,200000,16750,10526,19,В кредите отказано
Денис Саневский,26,200000,17000,10000,20,В кредите отказано
Лариса Савашина,27,200000,17250,9524,21,В кредите отказано
Ольга Мытенкова,28,200000,17500,9091,22,В кредите отказано
Альберт Гелахов,29,200000,17750,8696,23,В кредите отказано
Виталий Шадлов,30,200000,18000,8333,24,В кредите отказано
Юлия Добрыдина,31,200000,18250,8000,25,В кредите отказано
Руслан Катаманин,32,200000,18500,7692,26,В кредите отказано
Катерина Дигитаева,33,200000,18750,7407,27,В кредите отказано
Полина Друзьякина,34,200000,19000,7143,28,В кредите отказано
Леонид Шеленин,35,200000,19250,6897,29,В кредите отказано
Вероника Ходыпева,36,200000,19500,6667,30,В кредите отказано
Вероника Биченова,37,200000,19750,6452,31,В кредите отказано
Геннадий Песегов,38,200000,20000,6250,32,В кредите отказано
Инна Земнцова,39,200000,20250,6061,33,В кредите отказано
Евгений Ивинских,40,200000,20500,5882,34,В кредите отказано
Оксана Алихашкина,41,200000,20750,5714,35,В кредите отказано
Никита Канцуров,42,200000,21000,5556,36,В кредите отказано
Ирина Цацарина,43,200000,21250,16667,12,В кредите отказано
Станислав Грибин,44,200000,21500,15385,13,В кредите отказано
Вера Озисова,45,200000,21750,14286,14,В кредите отказано
Иван Гармакнов,46,200000,22000,13333,15,В кредите отказано
Борис Шаршунов,47,200000,22250,12500,16,В кредите отказано
Семён Горбачев,48,200000,22500,11765,17,В кредите отказано
Лиза Энеева,49,200000,22750,11111,18,В кредите отказано
Федор Шелупаев,50,200000,23000,10526,19,В кредите отказано
Тарас Альгин,51,200000,23250,10000,20,В кредите отказано
Тамара Михалихина,52,200000,23500,9524,21,В кредите отказано
Лариса Бердышева,53,200000,23750,9091,22,В кредите отказано
Лариса Мозжорина,54,200000,24000,8696,23,В кредите отказано
Наталия Курчекова,55,200000,24250,8333,24,В кредите отказано
Альберт Шнурков,56,200000,24500,8000,25,В кредите отказано
Анатолий Катенев,57,200000,24750,7692,26,В кредите отказано
Григорий Плешеков,58,200000,25000,7407,27,Кредит одобрен
Борис Биевецкий,59,200000,25500,7143,28,Кредит одобрен
Анастасия Емогулова,60,200000,26000,6897,29,Кредит одобрен
Вероника Гриванова,61,200000,26500,6667,30,Кредит одобрен
Иван Строгалев,62,200000,27000,6452,31,Кредит одобрен
Катерина Торонцова,63,200000,27500,6250,32,Кредит одобрен
Виолетта Стриткова,64,200000,28000,6061,33,Кредит одобрен
Катерина Моллаева,18,200000,28500,5882,34,Кредит одобрен
Екатерина Савцова,19,200000,29000,5714,35,Кредит одобрен
София Сваина,20,200000,29500,5556,36,Кредит одобрен
Раиса Гущинская,21,200000,30000,16667,12,Кредит одобрен
Ева Мархасева,22,200000,30500,15385,13,Кредит одобрен
Лариса Таршилова,23,200000,31000,14286,14,Кредит одобрен
Ярослав Санакоев,24,200000,31500,13333,15,Кредит одобрен
Семён Смородинов,25,200000,32000,12500,16,Кредит одобрен
Андрей Скопинский,26,200000,32500,11765,17,Кредит одобрен
Виктор Хрошин,27,200000,33000,11111,18,Кредит одобрен
Михаил Рудаков,28,200000,33500,10526,19,Кредит одобрен
Тамара Дондакова,29,200000,34000,10000,20,Кредит одобрен
Юрий Татлыбаев,30,200000,34500,9524,21,Кредит одобрен
Алиса Сунеева,31,200000,35000,9091,22,Кредит одобрен
Владислав Бубикин,32,200000,35500,8696,23,Кредит одобрен
Ольга Силюгина,33,200000,36000,8333,24,Кредит одобрен
Жанна Ганиева,34,200000,36500,8000,25,Кредит одобрен
Валерий Шигусов,35,200000,37000,7692,26,Кредит одобрен
Степан Панчищин,36,200000,37500,7407,27,Кредит одобрен
Катерина Вандрикова,37,200000,38000,7143,28,Кредит одобрен
Кристина Ладыгина,38,200000,38500,6897,29,Кредит одобрен
Любовь Москина,39,200000,39000,6667,30,Кредит одобрен
Илья Даданин,40,200000,39500,6452,31,Кредит одобрен
Антон Натаров,41,200000,40000,6250,32,Кредит одобрен
Алёна Илингина,42,200000,40500,6061,33,Кредит одобрен
Артём Моцыгин,43,200000,41000,5882,34,Кредит одобрен
Анна Веревкина,44,200000,41500,5714,35,Кредит одобрен
Зинаида Логвичева,45,200000,42000,5556,36,Кредит одобрен
Борис Садолин,46,200000,42500,16667,12,Кредит одобрен
Надежда Савичева,47,200000,43000,15385,13,Кредит одобрен
Федор Ганагин,48,200000,43500,14286,14,Кредит одобрен
Мария Тюрикова,49,200000,44000,13333,15,Кредит одобрен
Ирина Первукина,50,200000,44500,12500,16,Кредит одобрен
Ева Живрякова,51,200000,45000,11765,17,Кредит одобрен
Роман Гудиленков,52,200000,45500,11111,18,Кредит одобрен
Вадим Непомнящих,53,200000,46000,10526,19,Кредит одобрен
Анатолий Тюгашев,54,200000,46500,10000,20,Кредит одобрен
Валентин Прощалыгин,55,200000,47000,9524,21,Кредит одобрен
Николай Болотин,56,200000,47500,9091,22,Кредит одобрен
Лиза Синьгова,57,200000,48000,8696,23,Кредит одобрен
Александр Банецкий,58,200000,48500,8333,24,Кредит одобрен
Ева Корсовская,59,200000,49000,8000,25,Кредит одобрен
Любовь Дасова,60,200000,49500,7692,26,Кредит одобрен
Владислав Степчиков,61,200000,50000,7407,27,Кредит одобрен
Иван Сторошев,62,200000,50500,7143,28,Кредит одобрен
Вера Хадюшина,63,200000,51000,6897,29,Кредит одобрен
Яна Вострюкова,64,200000,51500,6667,30,Кредит одобрен
Кристина Цымбаева,18,200000,52000,6452,31,Кредит одобрен
Катерина Козловских,19,200000,52500,6250,32,Кредит одобрен
Маргарита Сересева,20,200000,53000,6061,33,Кредит одобрен
Яна Чуванова,21,200000,53500,5882,34,Кредит одобрен
Полина Будднова,22,200000,54000,5714,35,Кредит одобрен
Екатерина Тришенкова,23,200000,54500,5556,36,Кредит одобрен
Алла Шелешкова,18,500000,15100,13889,36,В кредите отказано
Леонид Броников,19,500000,15600,13514,37,В кредите отказано
Клара Катюнина,20,500000,16100,13158,38,В кредите отказано
Елизавета Пикашкова,21,500000,16600,12821,39,В кредите отказано
Михаил Богаев,22,500000,17100,12500,40,В кредите отказано
Алёна Афимова,23,500000,17600,12195,41,В кредите отказано
Любовь Зологина,24,500000,18100,11905,42,В кредите отказано
Максим Калаков,25,500000,18600,11628,43,В кредите отказано
Алиса Ломиева,26,500000,19100,11364,44,В кредите отказано
Валерия Цыцканова,27,500000,19600,11111,45,В кредите отказано
Валерий Переладов,28,500000,20100,10870,46,В кредите отказано
Алена Какбуриева,29,500000,20600,10638,47,В кредите отказано
Константин Корниенков,30,500000,21100,10417,48,В кредите отказано
Оксана Кузувкова,31,500000,21600,10204,49,В кредите отказано
Яна Бендусова,32,500000,22100,10000,50,В кредите отказано
Ирина Аляутдина,33,500000,22600,9804,51,В кредите отказано
Константин Закамалдин,34,500000,23100,9615,52,В кредите отказано
Вячеслав Гин,35,500000,23600,9434,53,В кредите отказано
Яна Зубавина,36,500000,24100,9259,54,В кредите отказано
Александр Трегухов,37,500000,24600,9091,55,В кредите отказано
Леонид Полухин,38,500000,25100,8929,56,В кредите отказано
Александра Едигина,39,500000,25600,8772,57,В кредите отказано
Яна Долева,40,500000,26100,8621,58,В кредите отказано
Виталий Тюбиков,41,500000,26600,8475,59,В кредите отказано
Павел Уразов,42,500000,27100,8333,60,В кредите отказано
Леонид Шешулкин,43,500000,27600,13889,36,В кредите отказано
Илья Зерчанинов,44,500000,28100,13514,37,В кредите отказано
Эдуард Рянцев,45,500000,28600,13158,38,В кредите отказано
Тарас Керилов,46,500000,29100,12821,39,В кредите отказано
Федор Боглаев,47,500000,29600,12500,40,В кредите отказано
Кира Змиренкова,48,500000,30100,12195,41,В кредите отказано
Олег Красовин,49,500000,30600,11905,42,В кредите отказано
Геннадий Щелычков,50,500000,31100,11628,43,В кредите отказано
Александр Симоров,51,500000,31600,11364,44,В кредите отказано
Людмила Зеброва,52,500000,32100,11111,45,В кредите отказано
Виктор Старокашин,53,500000,32600,10870,46,В кредите отказано
Карина Елшанская,54,500000,33100,10638,47,В кредите отказано
Ирина Желязкова,55,500000,33600,10417,48,В кредите отказано
Виолетта Быдина,56,500000,34100,10204,49,В кредите отказано
Юлия Егорнова,57,500000,34600,10000,50,В кредите отказано
Денис Нашатырев,58,500000,35100,9804,51,В кредите отказано
Пётр Меллин,59,500000,35600,9615,52,Кредит одобрен
Клара Волошкина,60,500000,36100,9434,53,Кредит одобрен
Евгений Плечов,61,500000,36600,9259,54,Кредит одобрен
Антон Тиванов,62,500000,37100,9091,55,Кредит одобрен
Валентина Капышова,63,500000,37600,8929,56,Кредит одобрен
Надежда Булавинова,64,500000,38100,8772,57,Кредит одобрен
Вероника Хронусова,18,500000,38600,8621,58,Кредит одобрен
Алена Карпучева,19,500000,39100,8475,59,Кредит одобрен
Анастасия Гечунова,20,500000,39600,8333,60,Кредит одобрен
Алена Увяткина,21,500000,40100,13889,36,Кредит одобрен
Илья Хапников,22,500000,40600,13514,37,Кредит одобрен
Юрий Абубякиров,23,500000,41100,13158,38,Кредит одобрен
Михаил Евплатов,24,500000,41600,12821,39,Кредит одобрен
Эдуард Тепелин,25,500000,42100,12500,40,Кредит одобрен
Олег Акинцев,26,500000,42600,12195,41,Кредит одобрен
София Кургузова,27,500000,43100,11905,42,Кредит одобрен
Елена Великанова,28,500000,43600,11628,43,Кредит одобрен
Артур Порамнов,29,500000,44100,11364,44,Кредит одобрен
Зинаида Соровегина,30,500000,44600,11111,45,Кредит одобрен
Ирина Белоусова,31,500000,45100,10870,46,Кредит одобрен
Полина Комчарова,32,500000,45600,10638,47,Кредит одобрен
Галина Шмырева,33,500000,46100,10417,48,Кредит одобрен
Надежда Рамушева,34,500000,46600,10204,49,Кредит одобрен
Пётр Шибинов,35,500000,47100,10000,50,Кредит одобрен
Ольга Саврушева,36,500000,47600,9804,51,Кредит одобрен
Тамара Леушева,37,500000,48100,9615,52,Кредит одобрен
Дарья Терпенова,38,500000,48600,9434,53,Кредит одобрен
Евгения Цыркина,39,500000,49100,9259,54,Кредит одобрен
Валерия Дулкина,40,500000,49600,9091,55,Кредит одобрен
Ирина Толоболина,41,500000,50100,8929,56,Кредит одобрен
Алина Юдайлева,42,500000,50600,8772,57,Кредит одобрен
Наталья Харичкова,43,500000,51100,8621,58,Кредит одобрен
Вера Печкина,44,500000,51600,8475,59,Кредит одобрен
Семён Печенов,45,500000,52100,8333,60,Кредит одобрен
Виолетта Ярова,46,500000,52600,13889,36,Кредит одобрен
Антон Суровежин,47,500000,53100,13514,37,Кредит одобрен
Клавдия Верунова,48,500000,53600,13158,38,Кредит одобрен
Николай Заносов,49,500000,54100,12821,39,Кредит одобрен
Людмила Терскова,50,500000,54600,12500,40,Кредит одобрен
Наталия Кранкина,51,500000,55100,12195,41,Кредит одобрен
Максим Рядозубов,52,500000,55600,11905,42,Кредит одобрен
Валерий Гурбатов,53,500000,56100,11628,43,Кредит одобрен
Дмитрий Долбин,54,500000,56600,11364,44,Кредит одобрен
Яков Базюков,55,500000,57100,11111,45,Кредит одобрен
Пётр Левшов,56,500000,57600,10870,46,Кредит одобрен
Владимир Перервин,57,500000,58100,10638,47,Кредит одобрен
Роман Московсков,58,500000,58600,10417,48,Кредит одобрен
Клавдия Хадайдеева,59,500000,59100,10204,49,Кредит одобрен
Руслан Полижаров,60,500000,59600,10000,50,Кредит одобрен
Алена Вахнеева,61,500000,60100,9804,51,Кредит одобрен
Дмитрий Трогов,62,500000,60600,9615,52,Кредит одобрен
Виталий Евдокеев,63,500000,61100,9434,53,Кредит одобрен
Марина Пупская,64,500000,61600,9259,54,Кредит одобрен
Вера Репова,18,500000,62100,9091,55,Кредит одобрен
Ярослав Брусовцев,19,500000,62600,8929,56,Кредит одобрен
Илья Шусмиков,20,500000,63100,8772,57,Кредит одобрен
Вадим Черницких,21,500000,63600,8621,58,Кредит одобрен
Альберт Бижов,22,500000,64100,8475,59,Кредит одобрен
Ирина Боровлева,23,500000,64600,8333,60,Кредит одобрен
Ксения Груева,18,1000000,15000,16667,60,В кредите отказано
Валерия Святицкая,19,1000000,15250,16667,60,В кредите отказано
Кира Кандыбова,20,1000000,15500,16129,62,В кредите отказано
Константин Лепкарев,21,1000000,15750,16393,61,В кредите отказано
Александра Тухмачева,22,1000000,16000,16393,61,В кредите отказано
Иван Саякин,23,1000000,16250,15873,63,В кредите отказано
Дарья Денегина,24,1000000,16500,16129,62,В кредите отказано
Степан Гашинин,25,1000000,16750,16129,62,В кредите отказано
Юлия Пияшова,26,1000000,17000,15625,64,В кредите отказано
Никита Лубшев,27,1000000,17250,15873,63,В кредите отказано
Галина Курбалиева,28,1000000,17500,15873,63,В кредите отказано
Артур Носыхин,29,1000000,17750,15385,65,В кредите отказано
Владимир Механтьев,30,1000000,18000,15625,64,В кредите отказано
София Брудастова,31,1000000,18250,15625,64,В кредите отказано
София Тикмикова,32,1000000,18500,15152,66,В кредите отказано
Кира Базалиева,33,1000000,18750,15385,65,В кредите отказано
Валерий Саалимов,34,1000000,19000,15385,65,В кредите отказано
Владимир Рифлин,35,1000000,19250,14925,67,В кредите отказано
Степан Алексишев,36,1000000,19500,15152,66,В кредите отказано
Олег Бивзюков,37,1000000,19750,15152,66,В кредите отказано
Аркадий Филюшкин,38,1000000,20000,14706,68,В кредите отказано
Маргарита Бенева,39,1000000,20250,14925,67,В кредите отказано
Леонид Шукляков,40,1000000,20500,14925,67,В кредите отказано
Кристина Субботская,41,1000000,20750,14493,69,В кредите отказано
Алиса Санджиева,42,1000000,21000,14706,68,В кредите отказано
Алексей Тмайков,43,1000000,21250,14706,68,В кредите отказано
Светлана Хотякова,44,1000000,21500,14286,70,В кредите отказано
Алёна Казахова,45,1000000,21750,14493,69,В кредите отказано
Марина Пятернина,46,1000000,22000,14493,69,В кредите отказано
Евгения Клубова,47,1000000,22250,14085,71,В кредите отказано
Евгений Непорезов,48,1000000,22500,14286,70,В кредите отказано
Евгений Чегашков,49,1000000,22750,14286,70,В кредите отказано
Галина Уломова,50,1000000,23000,13889,72,В кредите отказано
Евгения Арафулина,51,1000000,23250,14085,71,В кредите отказано
Иван Герчин,52,1000000,23500,14085,71,В кредите отказано
Юлия Ялтонская,53,1000000,23750,13699,73,В кредите отказано
Лариса Сафиулеева,54,1000000,24000,13889,72,В кредите отказано
Анна Едамова,55,1000000,24250,13889,72,В кредите отказано
Леонид Задураев,56,1000000,24500,13514,74,В кредите отказано
Степан Рогачев,57,1000000,24750,13699,73,В кредите отказано
Алёна Паранская,58,1000000,25000,13699,73,В кредите отказано
Галина Пателеева,59,1000000,25250,13333,75,В кредите отказано
Кира Рублинская,60,1000000,25500,13514,74,В кредите отказано
Юлия Опопова,61,1000000,25750,13514,74,В кредите отказано
Оксана Энская,62,1000000,26000,13158,76,В кредите отказано
Денис Шопхоев,63,1000000,26250,13333,75,В кредите отказано
Владимир Харалапов,64,1000000,26500,13333,75,В кредите отказано
Николай Двиняшин,18,1000000,26750,12987,77,В кредите отказано
Валерий Немешаев,19,1000000,27000,13158,76,В кредите отказано
Мария Петренцева,20,1000000,27250,13158,76,В кредите отказано
Евгений Самолдин,21,1000000,27500,12821,78,В кредите отказано
Надежда Гузева,22,1000000,27750,12987,77,В кредите отказано
Елизавета Акалаева,23,1000000,28000,12987,77,В кредите отказано
Георгий Колюбанов,24,1000000,28250,12658,79,В кредите отказано
Алла Касилкина,25,1000000,28500,12821,78,В кредите отказано
Валерия Почкина,26,1000000,28750,12821,78,В кредите отказано
Лариса Мендиянова,27,1000000,29000,12500,80,В кредите отказано
Алена Чурокова,28,1000000,29250,12658,79,В кредите отказано
Владислав Воротков,29,1000000,29500,12658,79,В кредите отказано
Яков Ловков,30,1000000,29750,12346,81,В кредите отказано
Вера Плушникова,31,1000000,30000,12500,80,В кредите отказано
Ирина Мазилкина,32,1000000,30250,12500,80,В кредите отказано
Клавдия Барабашина,33,1000000,30500,12195,82,В кредите отказано
Анатолий Черетаев,34,1000000,30750,12346,81,В кредите отказано
Леонид Чваньков,35,1000000,31000,12346,81,В кредите отказано
Роман Карельских,36,1000000,31250,12048,83,В кредите отказано
Илья Синилкин,37,1000000,31500,12195,82,В кредите отказано
Яков Шиштанов,38,1000000,31750,12195,82,В кредите отказано
Евгения Хромакова,39,1000000,32000,11905,84,В кредите отказано
Кристина Карамдина,40,1000000,32250,12048,83,В кредите отказано
Александра Пелшакова,41,1000000,32500,12048,83,В кредите отказано
Валентин Зельдин,42,1000000,32750,11765,85,В кредите отказано
Анна Осотина,43,1000000,33000,11905,84,В кредите отказано
София Мутавкина,44,1000000,33250,11905,84,В кредите отказано
Маргарита Киярова,45,1000000,33500,11111,90,В кредите отказано
Надежда Макланова,46,1000000,33750,10753,93,В кредите отказано
Людмила Бибина,47,1000000,34000,10417,96,В кредите отказано
Иван Пенчевский,48,1000000,34250,10101,99,В кредите отказано
Артур Клейдин,49,1000000,34500,9804,102,В кредите отказано
Вера Зиганшина,50,1000000,34750,9524,105,В кредите отказано
Вероника Дмитришина,51,1000000,35000,9259,108,Кредит одобрен
Владимир Лаугин,52,1000000,35250,9009,111,Кредит одобрен
Маргарита Щербина,53,1000000,35500,8772,114,Кредит одобрен
Василий Цапков,54,1000000,35750,8547,117,Кредит одобрен
Яков Мамыличев,55,1000000,36000,8333,120,Кредит одобрен
Руслан Шаховский,56,1000000,36250,11905,84,Кредит одобрен
Роман Тихонин,57,1000000,36500,11111,90,Кредит одобрен
Галина Поскина,58,1000000,36750,10753,93,Кредит одобрен
Марина Голобокова,59,1000000,37000,10417,96,Кредит одобрен
Валентин Куршонков,60,1000000,37250,10101,99,Кредит одобрен
Федор Шабельский,61,1000000,37500,9804,102,Кредит одобрен
Руслан Ширецов,62,1000000,37750,9524,105,Кредит одобрен
Елизавета Кливиткина,63,1000000,38000,9259,108,Кредит одобрен
Виктор Козейкин,64,1000000,38250,9009,111,Кредит одобрен
Руслан Русалов,18,1000000,38500,8772,114,Кредит одобрен
София Волганова,19,1000000,38750,8547,117,Кредит одобрен
Илья Нечеев,20,1000000,39000,8333,120,Кредит одобрен
София Сочугова,21,1000000,39250,10870,92,Кредит одобрен
Павел Кашурин,22,1000000,39500,10638,94,Кредит одобрен
Алёна Лебковская,23,1000000,39750,10753,93,Кредит одобрен
Клавдия Лисицына,18,50000,0,8333,6,В кредите отказано
Виктория Окуловских,19,50000,499,4167,12,В кредите отказано
